episode_id,story_id,episode_number_in_story,title,air_date
1,1,1,An Unearthly Child,1963-11-23
2,1,2,The Cave of Skulls,1963-11-30
3,1,3,The Forest of Fear,1963-12-07
4,1,4,The Firemaker,1963-12-14
5,2,1,The Dead Planet,1963-12-21
6,2,2,The Survivors,1963-12-28
7,2,3,The Escape,1964-01-04
8,2,4,The Ambush,1964-01-11
9,2,5,The Expedition,1964-01-18
10,2,6,The Ordeal,1964-01-25
11,2,7,The Rescue,1964-02-01
12,3,1,The Edge of Destruction,1964-02-08
13,3,2,The Brink of Disaster,1964-02-15
14,4,1,The Roof of the World,1964-02-22
15,4,2,The Singing Sands,1964-02-29
16,4,3,Five Hundred Eyes,1964-03-07
17,4,4,The Wall of Lies,1964-03-14
18,4,5,Rider from Shang-Tu,1964-03-21
19,4,6,Mighty Kublai Khan,1964-03-28
20,4,7,Assassin at Peking,1964-04-04
21,5,1,The Sea of Death,1964-04-11
22,5,2,The Velvet Web,1964-04-18
23,5,3,The Screaming Jungle,1964-04-25
24,5,4,The Snows of Terror,1964-05-02
25,5,5,Sentence of Death,1964-05-09
26,5,6,The Keys of Marinus,1964-05-16
27,6,1,The Temple of Evil,1964-05-23
28,6,2,The Warriors of Death,1964-05-30
29,6,3,The Bride of Sacrifice,1964-06-06
30,6,4,The Day of Darkness,1964-06-13
31,7,1,Strangers in Space,1964-06-20
32,7,2,The Unwilling Warriors,1964-06-27
33,7,3,Hidden Danger,1964-07-11
34,7,4,A Race Against Death,1964-07-18
35,7,5,Kidnap,1964-07-25
36,7,6,A Desperate Venture,1964-08-01
37,8,1,A Land of Fear,1964-08-08
38,8,2,Guests of Madame Guillotine,1964-08-15
39,8,3,A Change of Identity,1964-08-22
40,8,4,The Tyrant of France,1964-08-29
41,8,5,A Bargain of Necessity,1964-09-05
42,8,6,Prisoners of Conciergerie,1964-09-12
